103,99827,Haines,Alaska,59.2519,-135.542
104,99801,Juneau,Alaska,58.3628,-134.5294
105,99802,Juneau,Alaska,58.4057,-134.5897
106,99803,Juneau,Alaska,58.3771,-134.6174
107,99811,Juneau,Alaska,58.3835,-134.1978
108,99812,Juneau,Alaska,58.3271,-134.4742
109,99821,Auke Bay,Alaska,58.4494,-134.7003
110,99824,Douglas,Alaska,58.2756,-134.395
111,99850,Juneau,Alaska,58.3835,-134.1978
112,99556,Anchor Point,Alaska,59.8371,-151.7078
113,99568,Clam Gulch,Alaska,60.2016,-151.4226
114,99572,Cooper Landing,Alaska,60.4767,-149.8235
115,99603,Homer,Alaska,59.5374,-151.2356
116,99605,Hope,Alaska,60.8726,-149.4683
117,99610,Kasilof,Alaska,60.3164,-151.2896
118,99611,Kenai,Alaska,60.6145,-151.2546
119,99631,Moose Pass,Alaska,60.6148,-149.4056
120,99635,Nikiski,Alaska,60.7007,-151.2766
121,99639,Ninilchik,Alaska,60.0108,-151.6396
122,99663,Seldovia,Alaska,59.4495,-151.7009
123,99664,Seward,Alaska,60.1329,-149.3985
124,99669,Soldotna,Alaska,60.4818,-151.1358
125,99672,Sterling,Alaska,60.5136,-150.8532
126,99682,Tyonek,Alaska,60.0366,-151.6556
127,99901,Ketchikan,Alaska,55.372,-131.6832
128,99928,Ward Cove,Alaska,55.3954,-131.6754
129,99950,Ketchikan,Alaska,55.542,-131.4327
130,99550,Port Lions,Alaska,57.7012,-153.5056
131,99608,Karluk,Alaska,58.2687,-155.7971
132,99615,Kodiak,Alaska,57.6036,-153.3751
133,99619,Kodiak,Alaska,58.2687,-155.7971
134,99624,Larsen Bay,Alaska,58.2687,-155.7971
135,99643,Old Harbor,Alaska,58.2687,-155.7971
136,99644,Ouzinkie,Alaska,58.2687,-155.7971
137,99697,Kodiak,Alaska,58.2687,-155.7971
138,99548,Chignik Lake,Alaska,56.2448,-158.7578
139,99549,Port Heiden,Alaska,56.9643,-158.5664
140,99564,Chignik,Alaska,56.3016,-158.4157
